iqt,date,cds_spread
IQT1673283577,2022-01-16,45.1417
IQT1673283577,2022-02-15,40.5896
IQT1673283577,2022-03-17,46.688
IQT1673283577,2022-04-16,60.6588
IQT1673283577,2022-05-16,59.3976
IQT1673283577,2022-06-15,148.2261
IQT1673283577,2022-07-15,75.4159
IQT1673283577,2022-08-14,61.4531
IQT1673283577,2022-09-13,150.8506
IQT1673283577,2022-10-13,73.597
IQT1673283577,2022-11-12,62.4563
IQT1673283577,2022-12-12,72.7627
IQT1673283577,2023-01-11,66.3192
IQT1673283577,2023-02-10,63.7467
IQT1673283577,2023-03-12,63.9379
IQT1673283577,2023-04-11,60.7965
IQT1673283577,2023-05-11,62.6037
IQT1673283577,2023-06-10,61.9438
IQT1673283577,2023-07-10,61.9906
IQT1673283577,2023-08-09,58.2188
IQT1673283577,2023-09-08,55.9588
IQT1673283577,2023-10-08,63.2216
IQT1673283577,2023-11-07,60.07
IQT1673283577,2023-12-07,60.8393
IQT1673283577,2024-01-06,56.2237
IQT1673283577,2024-02-05,53.659
IQT1673283577,2024-03-06,60.0708
IQT1673283577,2024-04-05,57.8874
IQT1673283577,2024-05-05,56.0043
IQT1673283577,2024-06-04,55.9644
IQT1673283577,2024-07-04,49.7162
IQT1673283577,2024-08-03,63.4829
IQT1673283577,2024-09-02,59.9677
IQT1673283577,2024-10-02,56.6046
IQT1673283577,2024-11-01,57.0501
IQT1673283577,2024-12-01,53.8681
IQT1673283577,2024-12-31,47.5924
IQT1673533348,2012-01-09,185.5341
IQT1673533348,2012-02-08,164.3718
IQT1673533348,2012-03-09,170.9751
IQT1673533348,2012-04-08,172.7703
IQT1673533348,2012-05-08,178.9698
IQT1673533348,2012-06-07,165.4103
IQT1673533348,2012-07-07,166.1806
IQT1673533348,2012-08-06,173.2558
IQT1673533348,2012-09-05,171.7453
IQT1673533348,2012-10-05,146.5642
IQT1673533348,2012-11-04,149.0534
IQT1673533348,2012-12-04,151.6297
IQT1673533348,2013-01-03,128.4696
IQT1673533348,2013-02-02,141.0076
IQT1673533348,2013-03-04,177.038
IQT1673533348,2013-04-03,160.2809
IQT1673533348,2013-05-03,127.6618
IQT1673533348,2013-06-02,132.3641
IQT1673533348,2013-07-02,129.8859
IQT1673533348,2013-08-01,119.1267
IQT1673533348,2013-08-31,124.3222
IQT1673533348,2013-09-30,116.7904
IQT1673533348,2013-10-30,112.9639
IQT1673533348,2013-11-29,113.669
IQT1673533348,2013-12-29,99.9836
IQT1673533348,2014-01-28,101.2412
IQT1673533348,2014-02-27,95.1827
IQT1673533348,2014-03-29,88.3236
IQT1673533348,2014-04-28,87.3726
IQT1673533348,2014-05-28,88.2695
IQT1673533348,2014-06-27,79.0682
IQT1673533348,2014-07-27,86.14
IQT1673533348,2014-08-26,82.774
IQT1673533348,2014-09-25,81.6865
IQT1673533348,2014-10-25,75.2245
IQT1673533348,2014-11-24,74.4393
IQT1673533348,2014-12-24,75.4611
IQT1673533348,2015-01-23,71.2667
IQT1673533348,2015-02-22,82.1022
IQT1673533348,2015-03-24,82.2675
IQT1673533348,2015-04-23,83.1399
IQT1673533348,2015-05-23,85.0054
IQT1673533348,2015-06-22,91.2457
IQT1673533348,2015-07-22,97.3896
IQT1673533348,2015-08-21,101.5743
IQT1673533348,2015-09-20,95.3254
IQT1673533348,2015-10-20,95.3254
IQT1673533348,2015-11-19,95.3254
IQT1673533348,2015-12-19,95.3254
IQT1673533348,2016-01-18,95.3254
IQT1673533348,2016-02-17,95.3254
IQT1673533348,2016-03-18,95.3254
IQT1673533348,2016-04-17,95.3254
IQT1673533348,2016-05-17,95.3254
IQT1673533348,2016-06-16,95.3254
IQT1673533348,2016-07-16,95.3254
IQT1673533348,2016-08-15,95.3254
IQT1673533348,2016-09-14,95.3254
IQT1673533348,2016-10-14,95.3254
IQT1673533348,2016-11-13,95.3254
IQT1673533348,2016-12-13,95.3254
IQT1673533348,2017-01-12,95.3254
IQT1673533348,2017-02-11,95.3254
IQT1673533348,2017-03-13,75.4232
IQT1673533348,2017-04-12,84.7005
IQT1673533348,2017-05-12,86.8596
IQT1673533348,2017-06-11,87.296
IQT1673533348,2017-07-11,82.3042
IQT1673533348,2017-08-10,88.587
IQT1673533348,2017-09-09,83.7297
IQT1673533348,2017-10-09,82.2052
IQT1673533348,2017-11-08,80.8161
IQT1673533348,2017-12-08,70.2094
IQT1673533348,2018-01-07,68.1218
IQT1673533348,2018-02-06,72.7943
IQT1673533348,2018-03-08,71.012
IQT1673533348,2018-04-07,74.1526
IQT1673533348,2018-05-07,70.3854
IQT1673533348,2018-06-06,71.7663
IQT1673533348,2018-07-06,73.5979
IQT1673533348,2018-08-05,68.3735
IQT1673533348,2018-09-04,71.8042
IQT1673533348,2018-10-04,71.5256
IQT1673533348,2018-11-03,72.7621
IQT1673533348,2018-12-03,78.215
IQT1673533348,2019-01-02,87.766
IQT1673533348,2019-02-01,84.9603
IQT1673533348,2019-03-03,82.5088
IQT1673533348,2019-04-02,83.3921
IQT1673533348,2019-05-02,76.4273
IQT1673533348,2019-06-01,78.7386
IQT1673533348,2019-07-01,72.7283
IQT1673533348,2019-07-31,73.3379
IQT1673533348,2019-08-30,71.715
IQT1673533348,2019-09-29,68.2625
IQT1673533348,2019-10-29,72.7919
IQT1673533348,2019-11-28,64.1648
IQT1673533348,2019-12-28,64.0426
IQT1673533348,2020-01-27,68.4764
IQT1673533348,2020-02-26,68.8768
IQT1673533348,2020-03-27,82.1813
IQT1673533348,2020-04-26,71.9699
IQT1673533348,2020-05-26,66.9416
IQT1673533348,2020-06-25,76.1429
IQT1673533348,2020-07-25,76.5458
IQT1673533348,2020-08-24,75.1534
IQT1673533348,2020-09-23,78.0823
IQT1673533348,2020-10-23,74.2493
IQT1673533348,2020-11-22,70.4749
IQT1673533348,2020-12-22,69.9587
IQT1673533348,2021-01-21,68.9664
IQT1673533348,2021-02-20,68.8954
IQT1673533348,2021-03-22,65.4501
IQT1673533348,2021-04-21,64.137
IQT1673533348,2021-05-21,73.825
IQT1673533348,2021-06-20,73.3555
IQT1673533348,2021-07-20,69.5394
IQT1673533348,2021-08-19,69.6919
IQT1673533348,2021-09-18,69.7715
IQT1673533348,2021-10-18,70.3797
IQT1673533348,2021-11-17,72.2826
IQT1673533348,2021-12-17,70.3741
IQT1673533348,2022-01-16,72.9292
IQT1673533348,2022-02-15,80.6457
IQT1673533348,2022-03-17,79.0973
IQT1673533348,2022-04-16,85.1426
IQT1673533348,2022-05-16,93.5831
IQT1673533348,2022-06-15,90.5046
IQT1673533348,2022-07-15,90.6655
IQT1673533348,2022-08-14,82.9111
IQT1673533348,2022-09-13,88.3319
IQT1673533348,2022-10-13,103.1611
IQT1673533348,2022-11-12,92.5425
IQT1673533348,2022-12-12,82.6432
IQT1673533348,2023-01-11,81.3622
